Jogador,Estatística,Por 90,Percentil
Kaio Jorge,Non-Penalty Goals,0.64,95
Kaio Jorge,npxG: Non-Penalty xG,0.56,93
Kaio Jorge,Shots Total,3.55,96
Kaio Jorge,Assists,0.24,94
Kaio Jorge,xAG: Exp. Assisted Goals,0.12,73
Kaio Jorge,npxG + xAG,0.69,92
Kaio Jorge,Shot-Creating Actions,2.42,70
Kaio Jorge,Passes Attempted,16.61,28
Kaio Jorge,Pass Completion %,74.0%,80
Kaio Jorge,Progressive Passes,1.53,50
Kaio Jorge,Progressive Carries,2.06,93
Kaio Jorge,Successful Take-Ons,0.89,76
Kaio Jorge,Touches (Att Pen),5.72,91
Kaio Jorge,Progressive Passes Rec,6.13,76
Kaio Jorge,Tackles,0.40,18
Kaio Jorge,Interceptions,0.20,63
Kaio Jorge,Blocks,0.73,71
Kaio Jorge,Clearances,0.40,13
Kaio Jorge,Aerials Won,1.37,24
Yuri Alberto,Non-Penalty Goals,0.67,95
Yuri Alberto,npxG: Non-Penalty xG,0.47,82
Yuri Alberto,Shots Total,3.42,94
Yuri Alberto,Assists,0.10,61
Yuri Alberto,xAG: Exp. Assisted Goals,0.10,54
Yuri Alberto,npxG + xAG,0.56,78
Yuri Alberto,Shot-Creating Actions,2.59,77
Yuri Alberto,Passes Attempted,16.29,27
Yuri Alberto,Pass Completion %,73.9%,79
Yuri Alberto,Progressive Passes,1.40,40
Yuri Alberto,Progressive Carries,2.18,95
Yuri Alberto,Successful Take-Ons,0.88,75
Yuri Alberto,Touches (Att Pen),4.98,69
Yuri Alberto,Progressive Passes Rec,6.74,86
Yuri Alberto,Tackles,0.42,22
Yuri Alberto,Interceptions,0.21,65
Yuri Alberto,Blocks,0.21,3
Yuri Alberto,Clearances,0.57,25
Yuri Alberto,Aerials Won,1.35,23
