Estatística,Por 90,Percentil
Non-Penalty Goals,0.43,88
npxG: Non-Penalty xG,0.43,97
Shots Total,3.08,86
Assists,0.43,98
xAG: Exp. Assisted Goals,0.36,96
npxG + xAG,0.79,98
Shot-Creating Actions,4.11,69
Passes Attempted,33.23,35
Pass Completion %,69.8%,18
Progressive Passes,3.87,53
Progressive Carries,4.00,65
Successful Take-Ons,1.33,32
Touches (Att Pen),8.91,99
Progressive Passes Rec,12.93,96
Tackles,0.52,2
Interceptions,0.22,9
Blocks,0.39,4
Clearances,0.11,1
Aerials Won,0.24,17
Goals,0.65,98
Assists,0.43,98
Goals + Assists,1.08,99
Non-Penalty Goals,0.43,88
Penalty Kicks Made,0.22,98
Penalty Kicks Attempted,0.24,98
Yellow Cards,0.02,96
Red Cards,0.00,56
xG: Expected Goals,0.62,99
npxG: Non-Penalty xG,0.43,97
xAG: Exp. Assisted Goals,0.36,96
npxG + xAG,0.79,98
Progressive Carries,4.00,65
Progressive Passes,3.87,53
Progressive Passes Rec,12.93,96
Goals,0.65,98
Shots Total,3.08,86
Shots on Target,1.16,84
Shots on Target %,37.8%,58
Goals/Shot,0.14,70
Goals/Shot on Target,0.37,67
Average Shot Distance,14.80,82
Shots from Free Kicks,0.02,52
Penalty Kicks Made,0.22,98
Penalty Kicks Attempted,0.24,98
xG: Expected Goals,0.62,99
npxG: Non-Penalty xG,0.43,97
npxG/Shot,0.14,84
Goals - xG,+0.03,49
Non-Penalty Goals - npxG,0.00,37
Passes Completed,23.21,27
Passes Attempted,33.23,35
Pass Completion %,69.8%,18
Total Passing Distance,346.66,29
Progressive Passing Distance,104.97,49
Passes Completed (Short),13.27,31
Passes Attempted (Short),15.92,36
Pass Completion % (Short),83.4%,24
Passes Completed (Medium),7.55,31
Passes Attempted (Medium),11.23,46
Pass Completion % (Medium),67.2%,8
Passes Completed (Long),1.55,42
Passes Attempted (Long),2.67,32
Pass Completion % (Long),58.1%,75
Assists,0.43,98
xAG: Exp. Assisted Goals,0.36,96
xA: Expected Assists,0.23,75
Key Passes,2.17,83
Passes into Final Third,1.31,25
Passes into Penalty Area,2.41,91
Crosses into Penalty Area,0.41,67
Progressive Passes,3.87,53
Passes Attempted,33.23,35
Live-ball Passes,32.31,41
Dead-ball Passes,0.75,20
Passes from Free Kicks,0.15,31
Through Balls,0.60,84
Switches,0.13,37
Crosses,2.32,34
Throw-ins Taken,0.60,64
Corner Kicks,0.00,8
Inswinging Corner Kicks,0.00,16
Outswinging Corner Kicks,0.00,21
Straight Corner Kicks,0.00,42
Passes Completed,23.21,27
Passes Offside,0.17,50
Passes Blocked,1.63,12
Shot-Creating Actions,4.11,69
SCA (Live-ball Pass),3.03,75
SCA (Dead-ball Pass),0.04,32
SCA (Take-On),0.47,75
SCA (Shot),0.37,80
SCA (Fouls Drawn),0.15,39
SCA (Defensive Action),0.04,53
Goal-Creating Actions,0.65,85
GCA (Live-ball Pass),0.45,82
GCA (Dead-ball Pass),0.00,31
GCA (Take-On),0.11,84
GCA (Shot),0.09,90
GCA (Fouls Drawn),0.00,23
GCA (Defensive Action),0.00,42
Tackles,0.52,2
Tackles Won,0.26,3
Tackles (Def 3rd),0.15,5
Tackles (Mid 3rd),0.15,2
Tackles (Att 3rd),0.22,22
Dribblers Tackled,0.22,6
Dribbles Challenged,0.54,2
% of Dribblers Tackled,40.0%,48
Challenges Lost,0.32,96
Blocks,0.39,4
Shots Blocked,0.04,41
Passes Blocked,0.34,3
Interceptions,0.22,9
Tkl+Int,0.73,2
Clearances,0.11,1
Errors,0.00,78
Touches,44.42,31
Touches (Def Pen),0.22,5
Touches (Def 3rd),2.71,1
Touches (Mid 3rd),13.16,9
Touches (Att 3rd),29.08,79
Touches (Att Pen),8.91,99
Touches (Live-Ball),44.18,31
Take-Ons Attempted,3.38,42
Successful Take-Ons,1.33,32
Successful Take-On %,39.5%,30
Times Tackled During Take-On,1.87,45
Tackled During Take-On Percentage,55.4%,16
Carries,30.16,50
Total Carrying Distance,180.15,37
Progressive Carrying Distance,97.18,51
Progressive Carries,4.00,65
Carries into Final Third,1.59,20
Carries into Penalty Area,3.31,96
Miscontrols,2.88,19
Dispossessed,1.57,45
Passes Received,36.57,57
Progressive Passes Rec,12.93,96
Yellow Cards,0.02,96
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.54,88
Fouls Drawn,0.90,18
Offsides,0.39,22
Crosses,2.32,34
Interceptions,0.22,9
Tackles Won,0.26,3
Penalty Kicks Won,0.02,53
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,50
Ball Recoveries,2.84,8
Aerials Won,0.24,17
Aerials Lost,0.47,89
% of Aerials Won,33.3%,44
